Designator,Mid X,Mid Y,Rotation,Layer
C1,59.2652,-41.9714,270.0,top
C2,61.729,-41.4126,270.0,top
C3,75.1656,-62.4184,90.0,top
C4,82.1126,-62.4234,90.0,top
D1,89.6817,-70.1654,180.0,top
D2,54.8964,-70.2162,180.0,top
J1,73.22,-72.22,90.0,top
J2,73.22,-72.22,270.0,bottom
J3,55.5624,-62.742,270.0,top
R1,56.6064,-52.349401,270.0,top
R10,65.4252,-52.30486,180.0,top
R11,65.4252,-53.804328,180.0,top
R12,65.4252,-55.303796,180.0,top
R13,65.4252,-56.803264,180.0,top
R14,65.4252,-58.302732,180.0,top
R15,65.4252,-59.8022,180.0,top
R16,65.4252,-61.301668,180.0,top
R17,90.2146,-58.388524,0.0,top
R18,90.2146,-56.87504,0.0,top
R19,90.2146,-55.36156,0.0,top
R2,89.6709,-72.2482,0.0,top
R20,90.2146,-53.84808,0.0,top
R21,90.2146,-52.3346,0.0,top
R22,90.2146,-50.82112,0.0,top
R23,90.2146,-49.30764,0.0,top
R24,90.2146,-47.79416,0.0,top
R25,90.2146,-46.28068,0.0,top
R26,90.2146,-44.7672,0.0,top
R27,90.2146,-43.25372,0.0,top
R28,90.2146,-41.74024,0.0,top
R29,65.3847,-57.3638,0.0,bottom
R3,65.4252,-41.808584,180.0,top
R30,65.412,-55.662,0.0,bottom
R31,56.6236,-42.2254,90.0,top
R4,65.4252,-43.308052,180.0,top
R5,65.4252,-44.80752,180.0,top
R6,65.4252,-46.306988,180.0,top
R7,65.4252,-47.806456,180.0,top
R8,65.4252,-49.305924,180.0,top
R9,65.4252,-50.805392,180.0,top
SW1,53.1856,-54.594201,90.0,top
SW2,53.2028,-44.4606,90.0,top
U1,77.871,-45.6566,0.0,top
U2,78.6616,-62.4194,0.0,top
