Designator,Mid X,Mid Y,Rotation,Layer
C1,68.9742,-58.3064,0.0,top
C10,72.5348,-49.6602,270.0,top
C11,79.2464,-43.488,90.0,top
C16,79.184,-58.1494,90.0,top
C17,82.8416,-63.9406,180.0,top
C18,88.8106,-62.8784,270.0,top
C2,63.056,-59.2462,90.0,top
C3,69.182,-43.6912,0.0,top
C4,63.0292,-44.7478,90.0,top
C5,82.644,-49.5942,180.0,top
C6,88.6952,-48.441,270.0,top
C9,72.596,-64.0722,270.0,top
J1,75.72,-75.22,90.0,top
J2,56.52,-61.22,270.0,top
J3,56.52,-46.72,270.0,top
J4,94.92,-46.72,90.0,top
J5,75.72,-75.22,270.0,bottom
J6,94.92,-61.22,90.0,top
U1,66.7794,-64.8088,180.0,top
U2,66.8348,-50.3414,180.0,top
U3,85.2916,-42.787,0.0,top
U6,85.0618,-57.3666,0.0,top
