Designator,Footprint,Quantity,Value,LCSC Part #
"_2, ",,2,,
"C1, C10",CP_Elec_6.3x7.7,2,220uF,
"C11, C12, C2, C6, C8, C9",0805,6,0.1uF,
C3,CP_EIA-3216-12_Kemet-S,1,47uF,
C4,0805,1,4.7uF,
C5,0805,1,1uF,
C7,CP_EIA-6032-28_Kemet-C,1,220uF,
"D1, D3, D6",D_SMB,3,SS54,
"D2, D4, D5",D_SOD-323,3,1N5819,
"D7, D8, D9",0805,3,LED,
J1,USB_Micro-B_Wuerth_629105150521,1,USB_B_Micro,
J3,PinHeader_2x20_P1.27mm_Vertical_SMD,1,TOP,
J4,PinHeader_2x20_P1.27mm_Vertical_SMD,1,BUTTOM,
L1,L_10.4x10.4_H4.8,1,47uH,
"R1, R2",0603,2,22,
"R3, R6",0805,2,10k,
"R4, R5",0805,2,100,
R7,0805,1,2k,
U1,TO-263-5_TabPin3,1,LM2596S-5,
U2,SOT-223-3_TabPin2,1,LM1117MP-3.3,
U3,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2104,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,ACS712xLCTR-05B,
