Designator,Mid X,Mid Y,Rotation,Layer
_2,54.3122,-46.5688,90.0,bottom
,54.3122,-42.7842,90.0,bottom
C1,74.0988,-49.7184,270.0,top
C10,66.047,-49.7184,270.0,top
C11,58.112,-39.3552,0.0,top
C12,54.3782,-39.3552,180.0,top
C2,92.7424,-55.65,180.0,top
C3,92.1424,-66.838,0.0,top
C4,73.3114,-56.7542,180.0,top
C5,71.6248,-66.076,0.0,top
C6,92.7424,-69.7844,0.0,top
C7,92.8948,-43.1144,90.0,top
C8,92.8694,-48.8802,0.0,top
C9,75.3078,-66.076,180.0,top
D1,55.252,-68.4636,180.0,top
D2,68.5108,-62.3676,90.0,top
D3,81.9728,-49.6168,270.0,top
D4,66.4788,-62.3676,270.0,top
D5,64.4468,-62.3676,270.0,top
D6,87.5228,-49.6168,90.0,top
D7,82.4484,-57.948,0.0,top
D8,78.7701,-63.6884,0.0,top
D9,78.7701,-61.3747,0.0,top
J1,55.561,-60.22,270.0,top
J3,73.22,-72.22,90.0,top
J4,73.22,-72.22,270.0,bottom
L1,84.6052,-39.3044,0.0,top
R1,61.5512,-60.742,0.0,top
R2,61.5512,-59.1926,0.0,top
R3,78.7235,-57.948,0.0,top
R4,82.455,-63.6884,0.0,top
R5,82.455,-61.4024,0.0,top
R6,56.3442,-50.4042,0.0,top
R7,56.3442,-52.5124,180.0,top
U1,67.5096,-39.1076,180.0,top
U2,90.0424,-61.28,180.0,top
U3,73.252,-61.2464,0.0,top
U4,56.2172,-44.613,90.0,top
