Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_EIA-3216-12_Kemet-S,1,47uF,
"C2, C3, C4",0805,3,0.1uF,
D1,0805,1,LED,
D2,D_SMB,1,SS54,
J1,PinHeader_2x20_P1.27mm_Vertical_SMD,1,TOP,
J2,PinHeader_2x20_P1.27mm_Vertical_SMD,1,BUTTOM,
J3,USB_Micro-B_YouCee,1,USB_B_Micro,
"R1, R31",0603,2,1k,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R3, R4, R5, R6, R7, R8, R9",0603,26,R,
R2,0805,1,10k,
"R29, R30",0603,2,22,
"SW1, SW2",SW_SPST_Omron_B3F-315x_Angled,2,SW_Push,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-N16R2,
U2,ICM-42688-P,1,ICM-42688-P,
