Designator,Mid X,Mid Y,Rotation,Layer
C1,59.69,-64.77,270.0,top
C2,59.69,-58.42,180.0,top
C3,86.097,-49.635,0.0,top
C4,86.097,-51.6128,0.0,top
J1,75.72,-73.22,270.0,bottom
J2,75.72,-73.22,90.0,top
R1,64.798,-65.346,270.0,top
R12,71.571331,-65.346,270.0,top
R13,71.571331,-61.345,270.0,top
R14,73.829108,-65.346,270.0,top
R15,73.829108,-61.345,270.0,top
R16,76.086885,-65.346,270.0,top
R17,76.086885,-61.345,270.0,top
R19,78.344662,-61.345,270.0,top
R2,78.344662,-65.346,270.0,top
R20,80.602439,-65.346,270.0,top
R21,80.602439,-61.345,270.0,top
R22,82.860216,-65.346,270.0,top
R23,82.860216,-61.345,270.0,top
R24,85.118,-65.346,270.0,top
R25,85.118,-61.345,270.0,top
R3,67.055777,-65.346,270.0,top
R4,67.055777,-61.345,270.0,top
R5,69.313554,-65.346,270.0,top
R6,69.313554,-61.345,270.0,top
R7,81.725,-56.896,180.0,top
R8,81.725,-54.844287,180.0,top
R9,64.798,-61.345,270.0,top
U1,66.39,-46.565,90.0,top
U2,81.792,-50.905,90.0,top
